(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python resnet50_cifar10_ablation.py
=== [CIFAR-10] COMPREHENSIVE RESNET-50 ABLATION STUDY STARTING ===
Files already downloaded and verified
Files already downloaded and verified

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 1/5)
Downloading: "https://download.pytorch.org/models/resnet50-0676ba61.pth" to C:\Users\ASUS-WORKSTATION/.cache\torch\hub\checkpoints\resnet50-0676ba61.pth
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 97.8M/97.8M [00:09<00:00, 11.0MB/s]
    Epoch [11/20] | Train Loss: 0.0511 - Acc: 98.37% | Val Loss: 0.2564 - Acc: 94.14% | F1: 0.9412
    Epoch [12/20] | Train Loss: 0.0405 - Acc: 98.67% | Val Loss: 0.2360 - Acc: 94.39% | F1: 0.9437
    Epoch [13/20] | Train Loss: 0.0364 - Acc: 98.80% | Val Loss: 0.2553 - Acc: 94.31% | F1: 0.9431
    Epoch [14/20] | Train Loss: 0.0371 - Acc: 98.75% | Val Loss: 0.2660 - Acc: 93.97% | F1: 0.9398
    Epoch [15/20] | Train Loss: 0.0364 - Acc: 98.78% | Val Loss: 0.2542 - Acc: 94.53% | F1: 0.9454
    Epoch [16/20] | Train Loss: 0.0316 - Acc: 98.94% | Val Loss: 0.2726 - Acc: 94.34% | F1: 0.9434
    Epoch [17/20] | Train Loss: 0.0264 - Acc: 99.18% | Val Loss: 0.2706 - Acc: 94.14% | F1: 0.9415
    Epoch [18/20] | Train Loss: 0.0326 - Acc: 98.91% | Val Loss: 0.2569 - Acc: 94.30% | F1: 0.9426
    Epoch [19/20] | Train Loss: 0.0279 - Acc: 99.12% | Val Loss: 0.2440 - Acc: 94.40% | F1: 0.9441
    Epoch [20/20] | Train Loss: 0.0208 - Acc: 99.27% | Val Loss: 0.2563 - Acc: 94.49% | F1: 0.9448

[CIFAR-10] Proposed ResNet50 + BCT + KAN Training (Run 1/5)
    Epoch [01/20] | Train Loss: 0.7278 - Acc: 79.89% | Val Loss: 0.4059 - Acc: 87.82% | F1: 0.8773
    Epoch [02/20] | Train Loss: 0.2916 - Acc: 91.44% | Val Loss: 0.3205 - Acc: 89.85% | F1: 0.8993
    Epoch [03/20] | Train Loss: 0.1992 - Acc: 94.06% | Val Loss: 0.2648 - Acc: 91.15% | F1: 0.9114
    Epoch [04/20] | Train Loss: 0.1669 - Acc: 94.77% | Val Loss: 0.8514 - Acc: 69.45% | F1: 0.7158
    Epoch [05/20] | Train Loss: 0.1689 - Acc: 94.50% | Val Loss: 0.3179 - Acc: 90.04% | F1: 0.9003
    Epoch [06/20] | Train Loss: 0.1641 - Acc: 94.79% | Val Loss: 0.2609 - Acc: 91.68% | F1: 0.9167
    Epoch [07/20] | Train Loss: 0.1083 - Acc: 96.40% | Val Loss: 0.2296 - Acc: 92.82% | F1: 0.9280
    Epoch [08/20] | Train Loss: 0.1052 - Acc: 96.51% | Val Loss: 0.2491 - Acc: 92.38% | F1: 0.9237
    Epoch [09/20] | Train Loss: 0.1120 - Acc: 96.26% | Val Loss: 0.1977 - Acc: 93.98% | F1: 0.9398
    Epoch [10/20] | Train Loss: 0.0363 - Acc: 98.94% | Val Loss: 0.2010 - Acc: 94.20% | F1: 0.9418
    Epoch [11/20] | Train Loss: 0.0267 - Acc: 99.19% | Val Loss: 0.2432 - Acc: 93.43% | F1: 0.9344
    Epoch [12/20] | Train Loss: 0.0273 - Acc: 99.12% | Val Loss: 0.2125 - Acc: 94.30% | F1: 0.9430
    Epoch [13/20] | Train Loss: 0.0344 - Acc: 98.95% | Val Loss: 0.2202 - Acc: 93.75% | F1: 0.9373
    Epoch [14/20] | Train Loss: 0.0289 - Acc: 99.09% | Val Loss: 0.2183 - Acc: 93.64% | F1: 0.9365
    Epoch [15/20] | Train Loss: 0.0271 - Acc: 99.18% | Val Loss: 0.2169 - Acc: 93.92% | F1: 0.9391
    Epoch [16/20] | Train Loss: 0.0343 - Acc: 98.93% | Val Loss: 0.2132 - Acc: 93.95% | F1: 0.9396
    Epoch [17/20] | Train Loss: 0.0234 - Acc: 99.26% | Val Loss: 0.2389 - Acc: 93.62% | F1: 0.9361
    Epoch [18/20] | Train Loss: 0.0306 - Acc: 99.04% | Val Loss: 0.2056 - Acc: 94.23% | F1: 0.9423
    Epoch [19/20] | Train Loss: 0.0186 - Acc: 99.42% | Val Loss: 0.2123 - Acc: 94.25% | F1: 0.9425
    Epoch [20/20] | Train Loss: 0.0223 - Acc: 99.24% | Val Loss: 0.2344 - Acc: 93.36% | F1: 0.9332

[CIFAR-10] Proposed ResNet50 + BCT + KAN Training (Run 2/5)
    Epoch [01/20] | Train Loss: 0.3424 - Acc: 88.79% | Val Loss: 0.2296 - Acc: 92.52% | F1: 0.9249
    Epoch [02/20] | Train Loss: 0.1681 - Acc: 94.39% | Val Loss: 0.2060 - Acc: 93.22% | F1: 0.9321
    Epoch [03/20] | Train Loss: 0.1162 - Acc: 96.15% | Val Loss: 0.2177 - Acc: 92.99% | F1: 0.9300
    Epoch [04/20] | Train Loss: 0.0917 - Acc: 97.02% | Val Loss: 0.2164 - Acc: 93.06% | F1: 0.9305
    Epoch [05/20] | Train Loss: 0.0783 - Acc: 97.40% | Val Loss: 0.2691 - Acc: 92.10% | F1: 0.9211
    Epoch [06/20] | Train Loss: 0.0741 - Acc: 97.51% | Val Loss: 0.2225 - Acc: 93.45% | F1: 0.9342
    Epoch [07/20] | Train Loss: 0.0652 - Acc: 97.77% | Val Loss: 0.1928 - Acc: 94.73% | F1: 0.9472
    Epoch [08/20] | Train Loss: 0.0533 - Acc: 98.19% | Val Loss: 0.2236 - Acc: 93.75% | F1: 0.9381
    Epoch [09/20] | Train Loss: 0.0547 - Acc: 98.09% | Val Loss: 0.2034 - Acc: 94.15% | F1: 0.9415
    Epoch [10/20] | Train Loss: 0.0435 - Acc: 98.52% | Val Loss: 0.2230 - Acc: 94.06% | F1: 0.9405
    Epoch [11/20] | Train Loss: 0.0431 - Acc: 98.61% | Val Loss: 0.1979 - Acc: 94.60% | F1: 0.9461
    Epoch [12/20] | Train Loss: 0.0426 - Acc: 98.57% | Val Loss: 0.2010 - Acc: 94.27% | F1: 0.9426
    Epoch [13/20] | Train Loss: 0.0303 - Acc: 98.99% | Val Loss: 0.2261 - Acc: 94.25% | F1: 0.9426
    Epoch [14/20] | Train Loss: 0.0386 - Acc: 98.73% | Val Loss: 0.2106 - Acc: 94.21% | F1: 0.9420
    Epoch [15/20] | Train Loss: 0.0303 - Acc: 98.98% | Val Loss: 0.2085 - Acc: 94.66% | F1: 0.9468
    Epoch [16/20] | Train Loss: 0.0301 - Acc: 98.96% | Val Loss: 0.2110 - Acc: 94.29% | F1: 0.9429
    Epoch [17/20] | Train Loss: 0.0350 - Acc: 98.84% | Val Loss: 0.2014 - Acc: 94.82% | F1: 0.9482
    Epoch [18/20] | Train Loss: 0.0210 - Acc: 99.29% | Val Loss: 0.2389 - Acc: 94.00% | F1: 0.9400
    Epoch [19/20] | Train Loss: 0.0305 - Acc: 98.97% | Val Loss: 0.2124 - Acc: 94.45% | F1: 0.9447
    Epoch [20/20] | Train Loss: 0.0223 - Acc: 99.22% | Val Loss: 0.2197 - Acc: 94.33% | F1: 0.9433

[CIFAR-10] Proposed ResNet50 + BCT + KAN Training (Run 3/5)
