(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python isic2019_vit_bct_mlp_ablation.py
=== [ISIC 2019] VI+BCT+MLP ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + MLP (Run 1/5)
    Epoch [12/20] | Train Loss: 0.1580 | Val Acc: 79.32% | Macro F1: 0.7414 | Prec: 0.7435 | Rec: 0.7452
    Epoch [13/20] | Train Loss: 0.1598 | Val Acc: 78.25% | Macro F1: 0.7176 | Prec: 0.7185 | Rec: 0.7365
    Epoch [14/20] | Train Loss: 0.1102 | Val Acc: 80.24% | Macro F1: 0.7402 | Prec: 0.7580 | Rec: 0.7285
    Epoch [15/20] | Train Loss: 0.1936 | Val Acc: 78.61% | Macro F1: 0.7139 | Prec: 0.7018 | Rec: 0.7492
    Epoch [16/20] | Train Loss: 0.0976 | Val Acc: 79.71% | Macro F1: 0.7512 | Prec: 0.7484 | Rec: 0.7570
    Epoch [17/20] | Train Loss: 0.0964 | Val Acc: 79.93% | Macro F1: 0.7401 | Prec: 0.7320 | Rec: 0.7592
    Epoch [18/20] | Train Loss: 0.1208 | Val Acc: 79.81% | Macro F1: 0.7289 | Prec: 0.7286 | Rec: 0.7459
    Epoch [19/20] | Train Loss: 0.1027 | Val Acc: 81.82% | Macro F1: 0.7614 | Prec: 0.7615 | Rec: 0.7681
    Epoch [20/20] | Train Loss: 0.0763 | Val Acc: 80.17% | Macro F1: 0.7374 | Prec: 0.7401 | Rec: 0.7454

[ISIC 2019] Proposed ViT + BCT + MLP (Run 2/5)
    Epoch [01/20] | Train Loss: 1.3217 | Val Acc: 63.33% | Macro F1: 0.4717 | Prec: 0.5144 | Rec: 0.5362
    Epoch [02/20] | Train Loss: 0.9528 | Val Acc: 69.61% | Macro F1: 0.5907 | Prec: 0.5692 | Rec: 0.6955
    Epoch [03/20] | Train Loss: 0.7727 | Val Acc: 69.53% | Macro F1: 0.6390 | Prec: 0.6336 | Rec: 0.6806
    Epoch [04/20] | Train Loss: 0.6108 | Val Acc: 74.40% | Macro F1: 0.6686 | Prec: 0.6432 | Rec: 0.7075
    Epoch [05/20] | Train Loss: 0.5108 | Val Acc: 74.26% | Macro F1: 0.6308 | Prec: 0.6332 | Rec: 0.6988
    Epoch [06/20] | Train Loss: 0.3945 | Val Acc: 74.34% | Macro F1: 0.6765 | Prec: 0.6534 | Rec: 0.7149
    Epoch [07/20] | Train Loss: 0.3358 | Val Acc: 77.42% | Macro F1: 0.7152 | Prec: 0.7035 | Rec: 0.7463
    Epoch [08/20] | Train Loss: 0.2797 | Val Acc: 78.05% | Macro F1: 0.7343 | Prec: 0.7258 | Rec: 0.7516
    Epoch [09/20] | Train Loss: 0.2712 | Val Acc: 76.26% | Macro F1: 0.7243 | Prec: 0.6945 | Rec: 0.7650
    Epoch [10/20] | Train Loss: 0.2152 | Val Acc: 79.16% | Macro F1: 0.7197 | Prec: 0.7173 | Rec: 0.7396
    Epoch [11/20] | Train Loss: 0.1738 | Val Acc: 77.86% | Macro F1: 0.7329 | Prec: 0.7472 | Rec: 0.7307
    Epoch [12/20] | Train Loss: 0.1809 | Val Acc: 76.44% | Macro F1: 0.6374 | Prec: 0.6538 | Rec: 0.6994
    Epoch [13/20] | Train Loss: 0.1971 | Val Acc: 78.03% | Macro F1: 0.7226 | Prec: 0.7026 | Rec: 0.7491
    Epoch [14/20] | Train Loss: 0.1591 | Val Acc: 82.69% | Macro F1: 0.7795 | Prec: 0.7788 | Rec: 0.7877
    Epoch [15/20] | Train Loss: 0.0899 | Val Acc: 80.62% | Macro F1: 0.7577 | Prec: 0.7711 | Rec: 0.7481
